Date,Closing price
3/29/2018,$67.41
4/2/2018,$66.06
4/3/2018,$67.47
4/4/2018,$67.38
4/5/2018,$68.59
4/6/2018,$67.35
4/9/2018,$67.67
4/10/2018,$69.91
4/11/2018,$70.64
4/12/2018,$70.63
4/13/2018,$71.41
4/16/2018,$72.14
4/17/2018,$72.42
4/18/2018,$73.56
4/19/2018,$73.65
4/20/2018,$73.30
4/23/2018,$73.75
4/24/2018,$72.96
4/25/2018,$73.54
4/26/2018,$74.61
4/27/2018,$73.82
4/30/2018,$73.81
5/1/2018,$73.36
5/2/2018,$73.66
5/3/2018,$73.49
5/4/2018,$73.85
5/7/2018,$73.95
5/8/2018,$74.53
5/9/2018,$76.05
5/10/2018,$76.62
5/11/2018,$76.73
5/14/2018,$77.26
5/15/2018,$77.28
5/16/2018,$77.55
5/17/2018,$78.72
5/18/2018,$78.11
5/21/2018,$78.91
5/22/2018,$77.86
5/23/2018,$77.85
5/24/2018,$76.57
5/25/2018,$74.58
5/29/2018,$74.35
5/30/2018,$76.60
5/31/2018,$76.02
6/1/2018,$76.38
6/4/2018,$75.72
6/5/2018,$75.54
6/6/2018,$75.90
6/7/2018,$77.05
6/8/2018,$76.90
6/11/2018,$77.30
6/12/2018,$76.71
6/13/2018,$76.42
6/14/2018,$76.31
6/15/2018,$74.17
6/18/2018,$74.91
6/19/2018,$74.74
6/20/2018,$75.07
6/21/2018,$73.68
6/22/2018,$75.15
6/25/2018,$73.64
6/26/2018,$74.57
6/27/2018,$75.57
6/28/2018,$75.47
6/29/2018,$75.94
7/2/2018,$74.82
7/3/2018,$75.29
7/5/2018,$75.21
7/6/2018,$75.67
7/9/2018,$76.80
7/10/2018,$77.37
7/11/2018,$75.73
7/12/2018,$75.86
7/13/2018,$76.26
7/16/2018,$75.38
7/17/2018,$75.08
7/18/2018,$75.13
7/19/2018,$75.15
7/20/2018,$74.89
7/23/2018,$74.56
7/24/2018,$75.50
7/25/2018,$76.13
7/26/2018,$76.96
7/27/2018,$76.63
7/30/2018,$77.26
7/31/2018,$77.12
8/1/2018,$76.05
8/2/2018,$75.63
8/3/2018,$75.24
8/6/2018,$75.52
8/7/2018,$76.08
8/8/2018,$75.53
8/9/2018,$74.83
8/10/2018,$75.29
8/13/2018,$74.33
8/14/2018,$74.51
8/15/2018,$71.91
8/16/2018,$72.43
8/17/2018,$72.61
8/20/2018,$73.10
8/21/2018,$73.47
8/22/2018,$74.35
8/23/2018,$74.00
8/24/2018,$74.54
8/27/2018,$75.09
8/28/2018,$74.77
8/29/2018,$75.23
8/30/2018,$75.02
8/31/2018,$74.44
9/4/2018,$74.28
9/5/2018,$74.18
9/6/2018,$72.81
9/7/2018,$72.80
9/10/2018,$72.77
9/11/2018,$73.46
9/12/2018,$73.84
9/13/2018,$73.87
9/14/2018,$74.26
9/17/2018,$74.38
9/18/2018,$74.87
9/19/2018,$75.10
9/20/2018,$75.12
9/21/2018,$75.10
9/24/2018,$76.20
9/25/2018,$76.69
9/26/2018,$75.95
9/27/2018,$75.95
9/28/2018,$75.74
10/1/2018,$76.79
10/2/2018,$76.87
10/3/2018,$77.49
10/4/2018,$77.17
10/5/2018,$77.16
10/8/2018,$77.10
10/9/2018,$77.79
10/10/2018,$75.35
10/11/2018,$72.80
10/12/2018,$73.00
10/15/2018,$72.39
10/16/2018,$72.99
10/17/2018,$72.53
10/18/2018,$72.17
10/19/2018,$71.53
10/22/2018,$70.74
10/23/2018,$68.89
10/24/2018,$66.17
10/25/2018,$66.98
10/26/2018,$66.48
10/29/2018,$65.24
10/30/2018,$66.75
10/31/2018,$67.16
11/1/2018,$67.73
11/2/2018,$67.56
11/5/2018,$68.69
11/6/2018,$69.01
11/7/2018,$70.14
11/8/2018,$68.62
11/9/2018,$68.50
11/12/2018,$67.08
11/13/2018,$65.54
11/14/2018,$65.43
11/15/2018,$66.39
11/16/2018,$67.18
11/19/2018,$67.16
11/20/2018,$64.96
11/21/2018,$65.98
11/23/2018,$63.91
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
